iter	Logloss
231	0.3715077286
232	0.3712022676
233	0.3707959124
234	0.3704083724
235	0.3700445648
236	0.369689592
237	0.3692826356
238	0.3688668042
239	0.3685363164
240	0.3679147134
241	0.3673516614
242	0.3669312427
243	0.3663187499
244	0.3658567033
245	0.3653463232
246	0.3650467144
247	0.364662734
248	0.3640458034
249	0.3634646903
250	0.3630767614
251	0.3625263891
252	0.3620225076
253	0.3617836122
254	0.3613102067
255	0.3608987471
256	0.3607361605
257	0.3603845982
258	0.360104118
259	0.3596613384
260	0.3593474679
261	0.3587286331
262	0.3581517726
263	0.3577689621
264	0.3573761714
265	0.3570323451
266	0.3565738417
267	0.3562001443
268	0.3557892097
269	0.3554302506
270	0.3550303609
271	0.3547640323
272	0.3545035124
273	0.3541815982
274	0.3537319827
275	0.353271446
276	0.353019614
277	0.352716487
278	0.3524706942
279	0.3521688603
280	0.3518224962
281	0.3514949242
282	0.3510443037
283	0.350700336
284	0.3501001438
285	0.3497949119
286	0.3495533753
287	0.3492993594
288	0.3490839986
289	0.3486648798
290	0.3484522909
291	0.3482742693
292	0.3479362895
293	0.3474625984
294	0.3471803862
295	0.3465231441
296	0.3462561893
297	0.3460237952
298	0.3456362732
299	0.3454555171
300	0.3450508941
301	0.3447554357
302	0.3441998907
303	0.3438004593
304	0.3433598743
305	0.3431223045
306	0.3428653786
307	0.3426378411
308	0.3423529412
309	0.3419891803
310	0.3417553306
311	0.341573736
312	0.3411786764
313	0.3408377447
314	0.3406423031
315	0.3402985513
316	0.3401005157
317	0.3397985308
318	0.3393748986
319	0.3389878732
320	0.3387878887
321	0.3386052826
322	0.3383766436
323	0.3382742719
324	0.337728201
325	0.3370655669
326	0.3368119511
327	0.336601857
328	0.336119251
329	0.3357642743
330	0.3354330392
331	0.3352080314
332	0.3349048854
333	0.3344960019
334	0.3342317856
335	0.3339817364
336	0.333330865
337	0.3330884056
338	0.3327315492
339	0.3325482433
340	0.3323046035
341	0.3318152405
342	0.3315450332
343	0.3313030456
344	0.3310330945
345	0.3307510162
346	0.3304465284
347	0.330209991
348	0.3299358747
349	0.3294311445
350	0.3292372846
351	0.3287490379
352	0.3285138007
353	0.3281604718
354	0.3277858644
355	0.3273303432
356	0.3270604575
357	0.3267995093
358	0.3265574914
359	0.3262173273
360	0.3258447253
361	0.3254845394
362	0.3251385859
363	0.3249278699
364	0.3245122597
365	0.3242968048
366	0.324100309
367	0.3237922128
368	0.3235657002
369	0.3232706291
370	0.3230392968
371	0.3226952206
372	0.3222842403
373	0.3221164301
374	0.3218498756
375	0.3217207
376	0.3212752676
377	0.3210037975
378	0.3207764003
379	0.320540898
380	0.3203384955
381	0.3201630003
382	0.3197808315
383	0.3194352317
384	0.3190936563
385	0.3190214835
386	0.3187259159
387	0.3183219271
388	0.3180894428
389	0.3178159998
390	0.3176395526
391	0.3174789256
392	0.3172752973
393	0.3170642262
394	0.3168714678
395	0.3166537654
396	0.3162984932
397	0.3159829094
398	0.3156280004
399	0.3152388385
400	0.3148909644
401	0.3146134489
402	0.3143829647
403	0.3141267653
404	0.3139068267
405	0.3137329924
406	0.3134473348
407	0.3131385099
408	0.3127541848
409	0.3123754417
410	0.3121424262
411	0.3118106621
412	0.3114995422
413	0.3112447945
414	0.3109579333
415	0.3107452357
416	0.3105189059
417	0.3103016803
418	0.310054
419	0.3097664291
420	0.3095924265
421	0.3093156128
422	0.3089946597
423	0.308678267
424	0.3084587522
425	0.308238937
426	0.3078675528
427	0.3077159601
428	0.3074130313
429	0.3071386969
430	0.3068814279
431	0.3067259672
432	0.3063359419
433	0.3060111234
434	0.3057134801
435	0.3055394639
436	0.3053581818
437	0.3051845714
438	0.3049476362
439	0.3046002018
440	0.3042255745
441	0.3040566771
442	0.3038182884
443	0.3035800094
444	0.3033917346
445	0.3032285345
446	0.3029132855
447	0.3026458599
448	0.3024676587
449	0.302456143
450	0.3021643705
451	0.301707355
452	0.3014902337
453	0.30122638
454	0.301186987
455	0.3007897109
456	0.3003403386
457	0.3000452118
458	0.2997720853
459	0.299152085
460	0.2990140544
461	0.2987606112
462	0.2985091809
463	0.2982978972
464	0.2980929234
465	0.297899956
466	0.2975205034
467	0.2971394501
468	0.2969353844
469	0.2968072429
470	0.2966554898
471	0.2963864981
472	0.2960290461
473	0.2957875712
474	0.2955755032
475	0.2953624609
476	0.2950732319
477	0.2948121605
478	0.2946194083
479	0.2945061844
480	0.2942757046
481	0.2940019995
482	0.2938872037
483	0.2935314994
484	0.2932050677
485	0.2928788618
486	0.2927299656
487	0.2924582623
488	0.2923110743
489	0.2920734161
490	0.2919072441
491	0.2916729679
492	0.2914108916
493	0.2912115059
494	0.2911332225
495	0.2908020424
496	0.2905558634
497	0.2902986769
498	0.2901680337
499	0.2898571713
500	0.2897048943
501	0.2893446178
502	0.2891495341
503	0.2888237032
504	0.2884362487
505	0.2883076991
506	0.2881508911
507	0.287964428
508	0.2876854288
509	0.2872806248
510	0.2868826213
511	0.2865752592
512	0.2863342087
513	0.2861867341
514	0.2860828053
515	0.2857326338
516	0.2855854498
517	0.2853574676
518	0.2850049989
519	0.2846875816
520	0.2844730506
521	0.284198863
522	0.2838895072
523	0.2837356195
524	0.28357089
525	0.2833511923
526	0.283151646
527	0.2829717756
528	0.2827544862
529	0.2825781265
530	0.2823809747
531	0.2822662613
532	0.2820477672
533	0.2819495838
534	0.2818180501
535	0.2816340735
536	0.2814119132
537	0.2811481569
538	0.2809592795
539	0.2806989654
540	0.2805662455
541	0.2803362667
542	0.2801894365
543	0.2798237438
544	0.2795065755
545	0.2793039131
546	0.2790208258
547	0.2787486528
548	0.2785296574
549	0.2783390374
550	0.278098229
551	0.2777460424
552	0.2774933728
553	0.2773268385
554	0.2770920097
555	0.2769537393
556	0.2766917637
557	0.2765224613
558	0.2764081716
559	0.2761695329
560	0.2759425472
561	0.2755671115
562	0.2753865323
563	0.2752494693
564	0.274961636
565	0.2745984072
566	0.2744711689
567	0.2742452803
568	0.2740216195
569	0.2738267099
570	0.2735974597
571	0.2734114297
572	0.2731480485
573	0.2728890103
574	0.2725856331
575	0.2723690793
576	0.2720970136
577	0.2719373552
578	0.2718067796
579	0.2715874346
580	0.2714706098
581	0.2713282836
582	0.2710094418
583	0.2708390824
584	0.2706173688
585	0.270495218
586	0.2702820656
587	0.2698464847
588	0.2696212261
589	0.2694724889
590	0.2692865311
591	0.2688732931
592	0.2687297841
593	0.2685351728
594	0.2683820078
595	0.2681621796
596	0.2678149106
597	0.2676684218
598	0.2673760561
599	0.2671032659
600	0.2668490155
601	0.2665687293
602	0.2662291231
603	0.2659626609
604	0.2656986475
605	0.2655589864
606	0.2653190734
607	0.2651579658
608	0.2649505673
609	0.2647808433
610	0.2644046204
611	0.2643180458
612	0.2641553236
613	0.2640170474
614	0.2638902419
615	0.2637322997
616	0.2634086936
617	0.2631929604
618	0.2629406755
619	0.2626100009
620	0.262523466
621	0.2623627589
622	0.262241974
623	0.2619599883
624	0.261746716
625	0.2613710911
626	0.2612380003
627	0.2610397758
628	0.2607887692
629	0.2606121926
630	0.2604368706
631	0.2602835993
632	0.2601425237
633	0.2600031477
634	0.2597548783
635	0.2595318325
636	0.2593586864
637	0.2592207781
638	0.2588851992
639	0.2587657502
640	0.2586215652
641	0.2584453416
642	0.2581635718
643	0.2580034662
644	0.2578480096
645	0.257683108
646	0.2575793089
647	0.2574040943
648	0.2571301584
649	0.2569857309
650	0.2568183594
651	0.2564730887
652	0.2563753184
653	0.2563225189
654	0.2561622822
655	0.2559941806
656	0.2555789676
657	0.2553183751
658	0.2551818325
659	0.2549999392
660	0.2548566169
661	0.2546458291
662	0.2544286977
663	0.254311405
664	0.2540955567
665	0.2537331809
666	0.2535631218
667	0.2533866113
668	0.253002182
669	0.2527150825
670	0.2525628916
671	0.2522296467
672	0.2521279858
673	0.251911781
674	0.2517353922
675	0.2515871351
676	0.2513441943
677	0.2512197387
678	0.2510551164
679	0.2508578102
680	0.2507047589
681	0.2505479284
682	0.2504649908
683	0.2503430754
684	0.2502334399
685	0.2500735527
686	0.2499392985
687	0.249808486
688	0.2495586759
689	0.2493442291
690	0.2490392877
691	0.2488252379
692	0.2486343048
693	0.2484491144
694	0.2482780887
695	0.2479001882
696	0.2477018881
697	0.2475548461
698	0.2473689424
699	0.247214704
700	0.2469725192
701	0.2468098934
702	0.2466675037
703	0.2464737286
704	0.2463174766
705	0.2461414571
706	0.2460078873
707	0.2458609801
708	0.2456600972
709	0.2454373465
710	0.2451193084
711	0.2448558148
712	0.2446828229
713	0.2444296076
714	0.2440500222
715	0.2438979949
716	0.2436951444
717	0.2434927113
718	0.2432849867
719	0.2431627088
720	0.2430253625
721	0.2428691079
722	0.2426737481
723	0.2425603263
724	0.2424012177
725	0.2421900831
726	0.2420634531
727	0.2418372241
728	0.2417074431
729	0.2415126189
730	0.2414109807
731	0.2412780883
732	0.2411077325
733	0.2408906904
734	0.2406848628
735	0.2405034816
736	0.240189734
737	0.2399618702
738	0.2399539806
739	0.239775188
740	0.2396326149
741	0.2394177647
742	0.239135011
743	0.239031995
744	0.2389522509
745	0.2388505702
746	0.2386793384
747	0.2384031865
748	0.2382314988
749	0.2381395653
750	0.2379897077
751	0.237786377
752	0.2376319497
753	0.2373115089
754	0.2372498876
755	0.2370426416
756	0.2369912681
757	0.2368509897
758	0.2366404089
759	0.2364434834
760	0.2362853365
761	0.236053121
762	0.2358886655
763	0.2357166211
764	0.2356314482
765	0.2355156088
766	0.2352209685
767	0.2350290053
768	0.2346869109
769	0.2343327075
770	0.2342887819
771	0.2341368276
772	0.2340547727
773	0.2337866693
774	0.2335032828
775	0.2334043962
776	0.2331268368
777	0.2329171005
778	0.232599366
779	0.2324784535
780	0.2322702377
781	0.2321278299
782	0.2320242738
783	0.2317540436
784	0.2313889454
785	0.2312345162
786	0.2308783839
787	0.2307488628
788	0.2306701128
789	0.2304875178
790	0.2303612277
791	0.2301310978
792	0.2298847455
793	0.2297512635
794	0.2296468788
795	0.2294589342
796	0.2292326407
797	0.229124198
798	0.2288816736
799	0.228775598
800	0.2286318199
801	0.2284030365
802	0.2282503744
803	0.2279788717
804	0.2277288557
805	0.2275904909
806	0.2274451273
807	0.2272319423
808	0.2271397949
809	0.2268751123
810	0.2267211783
811	0.226591136
812	0.226440065
813	0.2263896545
814	0.2262297152
815	0.2260746071
816	0.2256923894
817	0.2253851537
818	0.2252587246
819	0.2249433203
820	0.2247748409
821	0.2246750418
822	0.2246013357
823	0.224441186
824	0.2241885349
825	0.2239913947
826	0.2237496722
827	0.2235832068
828	0.2234429404
829	0.2231193777
830	0.2229581242
831	0.222691592
832	0.2225099268
833	0.2224105039
834	0.2222749948
835	0.2222122432
836	0.2220100518
837	0.2217680754
838	0.2216589375
839	0.2214631027
840	0.2211091035
841	0.2210045013
842	0.220906246
843	0.2206855623
844	0.2205636312
845	0.2202898319
846	0.2201973176
847	0.2199190944
848	0.2197644764
849	0.219463814
850	0.2192078778
851	0.2189524256
852	0.2187969294
853	0.2184673502
854	0.218247594
855	0.2180992425
856	0.217917396
857	0.21780151
858	0.2176097255
859	0.217424595
860	0.217130665
861	0.2170866285
862	0.2168762474
863	0.216688056
864	0.216541437
865	0.2162584119
866	0.2161037343
867	0.2159560228
868	0.2157213006
869	0.2155546083
870	0.2153739234
871	0.2152167361
872	0.2149666496
873	0.2148725028
874	0.2146496058
875	0.214530505
876	0.2144071017
877	0.2141898283
878	0.214037898
879	0.213804367
880	0.2136370276
881	0.2133528214
882	0.2130741675
883	0.212886598
884	0.2127080011
885	0.2125147043
886	0.2123769925
887	0.2121993165
888	0.2121003206
889	0.2119711391
890	0.2118487364
891	0.2116292122
892	0.2115182775
893	0.2113444452
894	0.2111653576
895	0.2110361293
896	0.2109083064
897	0.2108156288
898	0.210567124
899	0.2103246179
900	0.2100728562
901	0.2098433232
902	0.2095854629
903	0.2094252574
904	0.2092748139
905	0.2090771882
906	0.2089066443
907	0.2087471206
908	0.2085695837
909	0.208425054
910	0.2083184328
911	0.2081663294
912	0.2078989801
913	0.2076675283
914	0.207368758
915	0.2072621263
916	0.2071643158
917	0.2070892149
918	0.2069396363
919	0.2067654212
920	0.2066216213
921	0.2065473647
922	0.2064149396
923	0.2061633318
924	0.2060559287
925	0.2057641927
926	0.2055392655
927	0.2053662403
928	0.2051581043
929	0.2050376942
930	0.2047477206
931	0.2046337368
932	0.2045954043
933	0.2045292763
934	0.2043745489
935	0.2041192838
936	0.2039881344
937	0.2039207039
938	0.2037890304
939	0.2035412366
940	0.2034105465
941	0.2032590885
942	0.2030564155
943	0.2029201893
944	0.2027568084
945	0.2025383032
946	0.2023622406
947	0.2020540815
948	0.2019626474
949	0.2018360981
950	0.2017443327
951	0.2015684325
952	0.2014099479
953	0.2012479594
954	0.201113673
955	0.2009970385
956	0.2007965256
957	0.2007046235
958	0.2005976253
959	0.2004846912
960	0.2003428121
961	0.2002869568
962	0.2001237107
963	0.2000175284
964	0.1999354537
965	0.1996949331
966	0.1994796661
967	0.1993504702
968	0.1991162523
969	0.1989390036
970	0.1988099011
971	0.1986840821
972	0.1985545618
973	0.1983737899
974	0.1983193956
975	0.1982155791
976	0.1980561886
977	0.1978778111
978	0.1976881715
979	0.197415519
980	0.1971679714
981	0.1970885957
982	0.1968367767
983	0.1966973471
984	0.1964993752
985	0.1963294584
986	0.1962070695
987	0.1960839747
988	0.1959986093
989	0.1957985115
990	0.1956516675
991	0.1955529567
992	0.1953368738
993	0.1951432122
994	0.1950012192
995	0.1948480122
996	0.1947543384
997	0.1946110296
998	0.1943862329
999	0.1942655415
